holc_grade,id,N_samples,City,City_state
D,AL_Mobile_D3_D_100,4,Mobile,"Mobile, AL"
D,AL_Mobile_D4_D_101,17,Mobile,"Mobile, AL"
D,AL_Mobile_D5_D_102,971,Mobile,"Mobile, AL"
D,AL_Mobile_D6_D_104,7,Mobile,"Mobile, AL"
D,AL_Mobile_D6_D_105,39,Mobile,"Mobile, AL"
D,AL_Mobile_D6_D_107,63,Mobile,"Mobile, AL"
D,AL_Mobile_D6_D_109,446,Mobile,"Mobile, AL"
B,AL_Mobile_NA_B_112,1,Mobile,"Mobile, AL"
B,AL_Mobile_NA_B_116,1,Mobile,"Mobile, AL"
B,AL_Mobile_NA_B_117,63,Mobile,"Mobile, AL"
C,AL_Mobile_NA_C_114,163,Mobile,"Mobile, AL"
A,AL_Montgomery_A1_A_118,406,Montgomery,"Montgomery, AL"
A,AL_Montgomery_A2_A_119,355,Montgomery,"Montgomery, AL"
B,AL_Montgomery_B1_B_122,1,Montgomery,"Montgomery, AL"
B,AL_Montgomery_B2_B_123,34,Montgomery,"Montgomery, AL"
B,AL_Montgomery_B3_B_124,121,Montgomery,"Montgomery, AL"
B,AL_Montgomery_B3_B_125,21,Montgomery,"Montgomery, AL"
C,AL_Montgomery_C1_C_126,591,Montgomery,"Montgomery, AL"
C,AL_Montgomery_C2_C_127,66,Montgomery,"Montgomery, AL"
C,AL_Montgomery_C3_C_128,42,Montgomery,"Montgomery, AL"
C,AL_Montgomery_C4_C_130,2,Montgomery,"Montgomery, AL"
C,AL_Montgomery_C6_C_132,20,Montgomery,"Montgomery, AL"
D,AL_Montgomery_D1_D_133,147,Montgomery,"Montgomery, AL"
D,AL_Montgomery_D2_D_134,39,Montgomery,"Montgomery, AL"
D,AL_Montgomery_D3_D_135,23,Montgomery,"Montgomery, AL"
D,AL_Montgomery_D4_D_136,11970,Montgomery,"Montgomery, AL"
D,AL_Montgomery_D5_D_137,770,Montgomery,"Montgomery, AL"
D,AL_Montgomery_D6_D_138,169,Montgomery,"Montgomery, AL"
D,AL_Montgomery_D7_D_140,2485,Montgomery,"Montgomery, AL"
A,AR_Little Rock_A1_A_141,1362,Little Rock,"Little Rock, AR"
A,AR_Little Rock_A2_A_142,10537,Little Rock,"Little Rock, AR"
A,AR_Little Rock_A3_A_143,8,Little Rock,"Little Rock, AR"
A,AR_Little Rock_A4_A_144,68,Little Rock,"Little Rock, AR"
A,AR_Little Rock_A5_A_145,1435,Little Rock,"Little Rock, AR"
B,AR_Little Rock_B1_B_146,28,Little Rock,"Little Rock, AR"
B,AR_Little Rock_B10_B_147,2469,Little Rock,"Little Rock, AR"
B,AR_Little Rock_B11_B_148,31,Little Rock,"Little Rock, AR"
B,AR_Little Rock_B2_B_150,1258,Little Rock,"Little Rock, AR"
B,AR_Little Rock_B3_B_151,37710,Little Rock,"Little Rock, AR"
B,AR_Little Rock_B4_B_152,32,Little Rock,"Little Rock, AR"
B,AR_Little Rock_B5_B_153,205,Little Rock,"Little Rock, AR"
B,AR_Little Rock_B6_B_154,106,Little Rock,"Little Rock, AR"
B,AR_Little Rock_B7_B_155,236,Little Rock,"Little Rock, AR"
B,AR_Little Rock_B8_B_156,6,Little Rock,"Little Rock, AR"
B,AR_Little Rock_B9_B_157,1,Little Rock,"Little Rock, AR"
C,AR_Little Rock_C1_C_158,1030,Little Rock,"Little Rock, AR"
C,AR_Little Rock_C10_C_159,2,Little Rock,"Little Rock, AR"
C,AR_Little Rock_C2_C_160,6094,Little Rock,"Little Rock, AR"
C,AR_Little Rock_C3_C_161,260,Little Rock,"Little Rock, AR"
C,AR_Little Rock_C4_C_162,63,Little Rock,"Little Rock, AR"
C,AR_Little Rock_C5_C_163,1,Little Rock,"Little Rock, AR"
C,AR_Little Rock_C6_C_164,241,Little Rock,"Little Rock, AR"
C,AR_Little Rock_C7_C_165,7,Little Rock,"Little Rock, AR"
D,AR_Little Rock_D1_D_168,41,Little Rock,"Little Rock, AR"
D,AR_Little Rock_D2_D_169,169,Little Rock,"Little Rock, AR"
D,AR_Little Rock_D3_D_170,316,Little Rock,"Little Rock, AR"
D,AR_Little Rock_D4_D_171,89,Little Rock,"Little Rock, AR"
D,AR_Little Rock_D6_D_174,7,Little Rock,"Little Rock, AR"
D,AR_Little Rock_D7_D_175,14,Little Rock,"Little Rock, AR"
D,AR_Little Rock_D8_D_176,62,Little Rock,"Little Rock, AR"
A,AZ_Phoenix_A1_A_177,131,Phoenix,"Phoenix, AZ"
A,AZ_Phoenix_A2_A_178,1101,Phoenix,"Phoenix, AZ"
A,AZ_Phoenix_A3_A_179,203,Phoenix,"Phoenix, AZ"
A,AZ_Phoenix_A4_A_180,34,Phoenix,"Phoenix, AZ"
A,AZ_Phoenix_A5_A_181,266,Phoenix,"Phoenix, AZ"
B,AZ_Phoenix_B1_B_182,203,Phoenix,"Phoenix, AZ"
B,AZ_Phoenix_B2_B_183,66,Phoenix,"Phoenix, AZ"
B,AZ_Phoenix_B3_B_184,97,Phoenix,"Phoenix, AZ"
B,AZ_Phoenix_B4_B_185,1154,Phoenix,"Phoenix, AZ"
B,AZ_Phoenix_B5_B_186,104,Phoenix,"Phoenix, AZ"
B,AZ_Phoenix_B6_B_187,139,Phoenix,"Phoenix, AZ"
B,AZ_Phoenix_B7_B_188,408,Phoenix,"Phoenix, AZ"
B,AZ_Phoenix_B8_B_189,67,Phoenix,"Phoenix, AZ"
C,AZ_Phoenix_C1_C_190,490,Phoenix,"Phoenix, AZ"
C,AZ_Phoenix_C2_C_191,888,Phoenix,"Phoenix, AZ"
C,AZ_Phoenix_C3_C_192,479,Phoenix,"Phoenix, AZ"
C,AZ_Phoenix_C4_C_193,1199,Phoenix,"Phoenix, AZ"
D,AZ_Phoenix_D1_D_194,5,Phoenix,"Phoenix, AZ"
D,AZ_Phoenix_D2_D_195,693,Phoenix,"Phoenix, AZ"
D,AZ_Phoenix_D3_D_196,7,Phoenix,"Phoenix, AZ"
D,AZ_Phoenix_D4_D_197,111,Phoenix,"Phoenix, AZ"
D,AZ_Phoenix_D5_D_198,247,Phoenix,"Phoenix, AZ"
D,AZ_Phoenix_D6_D_199,55,Phoenix,"Phoenix, AZ"
D,AZ_Phoenix_D7_D_200,3,Phoenix,"Phoenix, AZ"
A,CA_Fresno_A1_A_202,136,Fresno,"Fresno, CA"
A,CA_Fresno_A2_A_203,14,Fresno,"Fresno, CA"
B,CA_Fresno_B1_B_204,27,Fresno,"Fresno, CA"
B,CA_Fresno_B2_B_205,541,Fresno,"Fresno, CA"
B,CA_Fresno_B3_B_207,3,Fresno,"Fresno, CA"
B,CA_Fresno_B4_B_210,1401,Fresno,"Fresno, CA"
B,CA_Fresno_B5_B_211,2,Fresno,"Fresno, CA"
C,CA_Fresno_C2_C_213,319,Fresno,"Fresno, CA"
C,CA_Fresno_C3_C_214,660,Fresno,"Fresno, CA"
C,CA_Fresno_C4_C_215,998,Fresno,"Fresno, CA"
C,CA_Fresno_C4_C_216,754,Fresno,"Fresno, CA"
C,CA_Fresno_C5_C_217,1,Fresno,"Fresno, CA"
C,CA_Fresno_C5_C_218,6,Fresno,"Fresno, CA"
C,CA_Fresno_C6_C_219,7,Fresno,"Fresno, CA"
C,CA_Fresno_C7_C_220,7,Fresno,"Fresno, CA"
C,CA_Fresno_C8_C_221,1,Fresno,"Fresno, CA"
C,CA_Fresno_C9_C_222,14,Fresno,"Fresno, CA"
D,CA_Fresno_D1_D_224,8,Fresno,"Fresno, CA"
D,CA_Fresno_D2_D_225,7,Fresno,"Fresno, CA"
D,CA_Fresno_D3_D_227,6,Fresno,"Fresno, CA"
D,CA_Fresno_D4_D_228,21,Fresno,"Fresno, CA"
D,CA_Fresno_D5_D_229,2,Fresno,"Fresno, CA"
D,CA_Fresno_D6_D_230,80,Fresno,"Fresno, CA"
D,CA_Fresno_D7_D_231,1,Fresno,"Fresno, CA"
D,CA_Fresno_D8_D_232,6,Fresno,"Fresno, CA"
A,CA_Los Angeles_A1_A_233,1334,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A10_A_234,4865,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A11_A_235,636,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A12_A_236,1853,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A13_A_237,11559,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A14_A_239,468,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A15_A_240,1353,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A16_A_241,1107,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A17_A_243,108,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A18_A_244,1602,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A19_A_245,24,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A2_A_246,872,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A20_A_247,1286,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A21_A_248,77520,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A22_A_249,27,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A23_A_250,16,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A25_A_252,140,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A26_A_253,122,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A27_A_254,101,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A28_A_255,114,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A29_A_256,353,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A3_A_257,159,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A30_A_258,8566,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A31_A_259,1111,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A32_A_260,172,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A33_A_261,571,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A34_A_262,40,Los Angeles,"Los Angeles, CA"
