id,area_holc_m2,area_pa,percent_pa
AL_Birmingham_A1_A_1,4753091.273962749,292393.8053489737,6.154127321214735
AL_Birmingham_A2_A_2,2668116.8934519147,50156.96505552097,1.8806128323440814
AL_Birmingham_A3_A_3,1242412.217263546,0,0
AL_Birmingham_B1_B_4,4538556.06334304,23472.12277940428,0.5173808503805394
AL_Birmingham_B10_B_5,158484.49072423633,0,0
AL_Birmingham_B11_B_6,450136.36005041964,0,0
AL_Birmingham_B12_B_7,767726.1072282164,0,0
AL_Birmingham_B13_B_8,432251.3098778926,5965.694933180464,1.3807015217389056
AL_Birmingham_B14_B_9,1646876.323152732,13839.100063459366,0.8406430264555854
AL_Birmingham_B15_B_10,144552.1342077794,0,0
AL_Birmingham_B16_B_11,136729.57122346683,0,0
AL_Birmingham_B2_B_12,1926379.1964158593,28484.577494044555,1.4792421925095107
AL_Birmingham_B3_B_13,490324.3816166674,1588.164455224527,0.32402683391004955
AL_Birmingham_B4_B_14,500627.9429506792,0,0
AL_Birmingham_B5_B_15,1363926.7831168533,44322.56957735386,3.250924404273625
AL_Birmingham_B6_B_16,1096093.1180432653,0,0
AL_Birmingham_B7_B_17,224212.60205159202,0,0
AL_Birmingham_B8_B_18,415529.90314943437,0,0
AL_Birmingham_B9_B_19,179146.85713667446,0,0
AL_Birmingham_C1_C_20,165353.39125181807,0,0
AL_Birmingham_C1_C_21,112714.87507451631,0,0
AL_Birmingham_C1_C_22,946480.765598298,73755.91903153062,7.795723982222174
AL_Birmingham_C10_C_23,925765.5342849051,149690.41136901267,16.175677918923213
AL_Birmingham_C11_C_24,2355706.473669284,55672.40251542856,2.3642331499490425
AL_Birmingham_C12_C_25,1671648.9060211033,0,0
AL_Birmingham_C13_C_26,408189.4620504695,31362.19229392335,7.68630130868168
AL_Birmingham_C14_C_27,2197352.4469179255,19090.63921051829,0.8691479467224437
AL_Birmingham_C15_C_28,3120337.658778097,37609.469600139535,1.2057853639130616
AL_Birmingham_C16_C_29,501364.31576332496,33619.619995296,6.708311694443543
AL_Birmingham_C16_C_30,999894.0095721749,11596.096274158452,1.1601838712623012
AL_Birmingham_C17_C_31,1098235.427222246,0,0
AL_Birmingham_C18_C_32,664992.401206066,17.24133242870448,0.002593763687637928
AL_Birmingham_C19_C_33,714104.1004768003,0,0
AL_Birmingham_C2_C_34,2181211.9367308556,16257.82914458355,0.7456554576716613
AL_Birmingham_C20_C_35,2713067.378042381,10924.476586195175,0.4028214712019086
AL_Birmingham_C3_C_36,7049008.427915155,321356.24613025377,4.560636514412079
AL_Birmingham_C4_C_37,342381.2212366924,27741.08258794993,8.105600484422355
AL_Birmingham_C5_C_38,729793.1874748059,4455.300084460527,0.6107343296663857
AL_Birmingham_C6_C_39,1052563.601965377,34960.361795559525,3.3227209776120517
AL_Birmingham_C7_C_40,1775622.318737025,17876.812845159322,1.007180192143534
AL_Birmingham_C8_C_41,807892.9938228535,52236.522221852094,6.468334876411605
AL_Birmingham_C9_C_42,1053540.3160734982,33762.7649823071,3.205967514169733
AL_Birmingham_D1_D_43,9272092.657487547,194334.0787286439,2.0967197037512717
AL_Birmingham_D10_D_44,1746533.7779201241,82663.28681688407,4.734849474311768
AL_Birmingham_D11_D_45,472607.5739084166,82.71833969588624,0.017509613690227504
AL_Birmingham_D12_D_46,836153.0048930356,0,0
AL_Birmingham_D13_D_47,2842136.9554109257,0,0
AL_Birmingham_D14_D_48,4301559.832874635,0,0
AL_Birmingham_D15_D_49,2015088.4231975223,0,0
AL_Birmingham_D16_D_50,185525.4527212144,0,0
AL_Birmingham_D16_D_51,138148.38642322336,0,0
AL_Birmingham_D16_D_52,816154.5103424068,0,0
AL_Birmingham_D16_D_53,230585.4647862303,0,0
AL_Birmingham_D17_D_54,6486109.060863147,0,0
AL_Birmingham_D18_D_55,1407972.4548691956,35360.74651167658,2.5124405917189523
AL_Birmingham_D19_D_56,662291.0404346912,6113.767702245794,0.9234853497294131
AL_Birmingham_D19_D_57,1974178.8537010504,0,0
AL_Birmingham_D2_D_58,8777897.698760513,234194.433041503,2.669033364626756
AL_Birmingham_D20_D_59,2177654.6430668146,39104.803756613284,1.79642436766323
AL_Birmingham_D20_D_60,3068181.8362505427,27995.27381740883,0.912790641729528
AL_Birmingham_D21_D_61,519732.4387717203,16466.47090369463,3.169571405157503
AL_Birmingham_D3_D_62,9395775.811663933,135230.94723710476,1.4398471763103053
AL_Birmingham_D3_D_63,5318716.7835404575,118523.33502027096,2.229292498374682
AL_Birmingham_D4_D_64,11719418.989592971,314453.9326337371,2.684229986251696
AL_Birmingham_D5_D_65,819689.8070799151,0,0
AL_Birmingham_D5_D_66,254074.3187889107,8598.684169381857,3.385661026852709
AL_Birmingham_D6_D_67,15533365.664517324,253792.10473854016,1.6345099249757165
AL_Birmingham_D7_D_68,6089278.253896566,110468.34809268161,1.8148620497738455
AL_Birmingham_D8_D_69,1508659.6109834642,0,0
