year,holc_grade,N_samples
2008,E,29
2009,E,33
2010,E,13
2011,E,135
2012,E,85
2013,E,143
2014,E,271
2015,E,370
2016,E,436
2017,E,446
2018,E,1275
2019,E,723
2020,E,373
2021,E,1337
2022,E,30
2020,E,3
2021,E,2
2019,A,18
2020,A,7
2018,A,1
2020,A,1
1993,B,1
2009,B,7
2010,B,10
2012,B,15
2013,B,2
2014,B,61
2015,B,4
2016,B,77
2017,B,312
2018,B,822
2019,B,729
2020,B,297
2021,B,363
2022,B,20
2020,B,1
2008,B,1
2013,B,8
2017,B,6
2018,B,5
2019,B,4
2020,B,17
2022,B,1
2022,B,3
2018,B,1
2001,B,8
2010,B,2
2016,B,13
2017,B,13
2020,B,2
2019,C,1
2022,C,1
1978,C,2
2017,C,1
2021,C,3
2003,C,4
2013,C,4
2014,C,49
2016,C,10
2017,C,32
2018,C,27
2019,C,49
2020,C,9
2021,C,2
1969,D,1
1972,D,14
1976,D,3
1983,D,1
1990,D,5
1994,D,2
1995,D,1
2004,D,17
2006,D,3
2007,D,39
2008,D,16
2009,D,40
2010,D,1
2011,D,4
2012,D,11
2013,D,3
2014,D,7
2015,D,30
2016,D,2
2017,D,60
2018,D,21
2019,D,4
2020,D,65
2021,D,51
2022,D,1
2018,A,15
2019,A,22
2022,A,1
2013,A,14
2018,B,10
2019,B,10
2022,B,1
2019,B,2
2021,B,11
1998,B,24
1999,B,55
2000,B,70
2001,B,88
2002,B,111
2003,B,20
2006,B,35
2007,B,15
2008,B,19
2009,B,20
2012,B,11
2013,B,24
2014,B,9
2015,B,10
2017,B,1
2019,B,1
2020,B,13
2021,B,45
1989,B,4
2016,B,10
2017,B,2
2018,B,5
2019,B,23
2021,B,5
2022,B,1
1960,B,3
1964,B,8
1980,B,1
1999,B,27
2001,B,43
2003,B,53
2005,B,27
2006,B,14
2007,B,12
2008,B,81
2009,B,293
2010,B,831
2011,B,539
2012,B,601
2013,B,58
2014,B,46
2015,B,47
2016,B,100
2017,B,100
2018,B,172
2019,B,114
2020,B,96
2021,B,265
2022,B,1
2018,C,29
2019,C,36
2020,C,74
2021,C,33
2012,C,3
2018,C,11
2020,C,1
2021,C,3
1942,C,1
1943,C,3
1985,C,1
2007,C,64
2015,C,4
2016,C,15
2017,C,17
2021,C,27
2021,C,19
2017,C,22
2020,C,24
1998,C,24
1999,C,21
2001,C,9
2002,C,11
2003,C,23
2006,C,19
2008,C,14
2009,C,9
2013,C,1
2019,C,18
2013,C,5
2000,C,17
2001,C,4
2002,C,16
2003,C,21
2005,C,13
2006,C,52
2007,C,61
2008,C,85
2009,C,40
2012,C,107
2013,C,91
2018,C,31
2019,C,18
2020,C,56
2003,C,9
2004,C,3
2019,C,1
2020,C,5
2021,C,68
2022,C,1
2020,D,2
1935,D,2
1939,D,193
1940,D,192
1941,D,157
1942,D,78
1946,D,1
1950,D,1
1960,D,1
1964,D,9
1976,D,33
1978,D,1
1980,D,3
1985,D,1
1986,D,1
1987,D,1
1989,D,2
1990,D,6
1991,D,1
2001,D,1
2002,D,1
2003,D,14
2004,D,92
2005,D,118
2006,D,21
2007,D,61
2008,D,163
2009,D,67
2010,D,10
2011,D,23
2012,D,67
2013,D,39
2014,D,26
2015,D,64
2016,D,11
2017,D,29
2018,D,43
2019,D,15
2020,D,35
2021,D,101
2022,D,2
2012,D,1
2018,D,5
2020,D,3
1996,A,3
1998,A,20
1999,A,14
2000,A,60
2001,A,195
2002,A,41
2003,A,16
2006,A,37
2007,A,15
2008,A,36
2009,A,54
2010,A,185
2011,A,87
2012,A,383
2013,A,499
2014,A,674
2015,A,233
2016,A,111
2017,A,127
2018,A,373
2019,A,868
2020,A,983
2021,A,607
2022,A,3
2018,A,1
2019,A,1
2020,A,1
2005,A,1
2006,A,1
2013,A,7
2016,A,3
2020,A,2
2021,A,50
2019,A,5
1932,B,3
1935,B,14
1954,B,7
1956,B,2
1969,B,1
1978,B,1
1990,B,1
1992,B,1
1994,B,1
1996,B,15
1997,B,14
1998,B,80
2000,B,1
2003,B,15
2004,B,66
2005,B,9
2006,B,113
2007,B,145
2008,B,53
2009,B,171
2010,B,40
2011,B,46
2012,B,149
2013,B,7
2014,B,51
2015,B,50
2016,B,29
2017,B,4
2018,B,4
2019,B,16
2020,B,8
1984,B,1
1988,B,1
1995,B,1
2014,B,11
2015,B,2
2016,B,154
2017,B,10
2018,B,1
2019,B,4
2020,B,2
2021,B,18
2014,B,14
2016,B,1
2018,B,2
2019,B,3
2020,B,1
2021,B,3
2000,B,4
2005,B,58
2006,B,175
2007,B,69
2008,B,78
2009,B,55
2010,B,12
2011,B,2
2012,B,4
2013,B,28
2014,B,5
2015,B,45
2016,B,4
2017,B,4
2018,B,31
2019,B,56
2020,B,78
2021,B,45
2022,B,2
1987,B,1
2009,B,8
2013,B,2
2015,B,6
2017,B,1
2018,B,42
2019,B,7
2021,B,14
2022,B,1
2013,B,3
2019,B,26
2020,B,37
2021,B,20
2005,B,3
2014,B,1
2011,C,11
2013,C,12
2014,C,17
2016,C,1
2017,C,1
2018,C,8
2019,C,18
2021,C,10
2012,C,1
2013,C,7
2014,C,2918
2015,C,700
2016,C,3
2017,C,4
2018,C,32
2019,C,1
2020,C,49
2021,C,82
2022,C,1
2000,C,4
2005,C,20
2011,C,1
2013,C,1
2014,C,5
2015,C,38
2016,C,19
2017,C,20
2018,C,6
2019,C,1
2020,C,3
2005,C,16
2006,C,4
2007,C,1
2008,C,65
2009,C,65
2010,C,27
2011,C,16
2012,C,10
2013,C,1
2015,C,9
2016,C,38
2021,C,1
1969,C,3
1991,C,1
2001,C,7
2003,C,7
2005,C,2
2006,C,32
2007,C,8
2008,C,60
2009,C,23
2010,C,3
2011,C,26
2012,C,85
2013,C,387
2014,C,640
2015,C,843
2016,C,606
2017,C,1191
2018,C,1083
2019,C,554
2020,C,1066
2021,C,4072
2022,C,3
2003,C,14
2004,C,13
2006,C,2
2007,C,17
2008,C,4
2009,C,9
2013,C,3
2016,C,58
2017,C,1
2018,C,10
2019,C,82
2021,C,70
2022,C,2
1992,C,1
1993,C,3
1999,C,2
2002,C,5
2003,C,2
2004,C,3
2005,C,4
2006,C,4
2007,C,3
2008,C,3
2009,C,5
2011,C,16
2012,C,13
2013,C,7
2014,C,19
2015,C,30
2016,C,53
2017,C,57
2018,C,104
2019,C,35
2020,C,26
2021,C,29
2000,C,80
2007,C,13
2009,C,17
2011,C,14
2012,C,13
2013,C,3
2014,C,16
2015,C,44
2016,C,106
2017,C,28
2018,C,200
2019,C,129
2020,C,87
2021,C,34
2022,C,5
2021,D,57
2022,D,1
1971,D,1
1974,D,4
1976,D,1
1986,D,1
1989,D,3
1991,D,5
1992,D,1
1993,D,1
1997,D,1
2000,D,3
2004,D,4
2005,D,10
2006,D,2
2007,D,12
2008,D,17
2010,D,1
2011,D,1
2012,D,9
2013,D,37
2014,D,145
2015,D,462
2016,D,151
2017,D,211
2018,D,266
2019,D,129
2020,D,202
2021,D,119
2022,D,3
1977,D,1
1991,D,33
1994,D,1
2015,D,31
2017,D,36
2018,D,2
2019,D,12
2020,D,7
2021,D,1
2022,D,3
1995,D,2
2004,D,2
2005,D,7
2006,D,8
2007,D,23
2008,D,5
2010,D,2
2011,D,32
2013,D,39
2014,D,47
2015,D,78
2016,D,94
2017,D,196
2018,D,444
2019,D,148
2020,D,16
2021,D,87
2022,D,50
1982,D,1
1999,D,14
2004,D,4
2005,D,4
2006,D,6
2011,D,1
2012,D,1
2013,D,3
2014,D,4
2015,D,9
2016,D,31
2017,D,27
2018,D,19
2019,D,18
2020,D,5
2021,D,101
2018,A,10
2020,A,2
2000,A,1
2009,A,32
2010,A,60
2011,A,1
2015,A,1
2017,A,6
2018,A,1
2019,A,1
2020,A,95
2021,A,37
2012,B,83
2013,B,233
2014,B,552
2015,B,465
2016,B,324
2017,B,447
2018,B,1065
2019,B,1309
2020,B,946
2021,B,4188
2013,B,8
2014,B,1
1996,B,11
1999,B,16
2000,B,44
2001,B,16
2003,B,11
2007,B,29
2008,B,34
2009,B,18
2010,B,20
2011,B,23
2012,B,139
2013,B,144
2014,B,102
2015,B,65
2016,B,789
2017,B,519
2018,B,345
2019,B,389
2020,B,631
2021,B,319
2022,B,3
2017,C,4
2021,C,15
2013,C,12
2016,C,27
2017,C,42
2018,C,219
2019,C,89
2020,C,24
2021,C,169
1992,C,1
2011,C,1
2012,C,12
2015,C,9
2016,C,1
2017,C,16
2018,C,12
2020,C,4
2021,C,70
2020,C,1
2021,C,16
2014,C,2
2015,C,30
2017,C,13
2018,C,10
2019,C,7
2020,C,5
1977,D,1
2006,D,1
2008,D,5
2009,D,4
2010,D,73
2011,D,29
2012,D,58
2013,D,286
2014,D,134
2015,D,66
2016,D,26
2017,D,137
2018,D,154
2019,D,257
2020,D,120
2021,D,116
2022,D,1
2011,D,1
2020,D,10
1933,D,3
1935,D,1
1936,D,4
1937,D,1
1986,D,8
1990,D,24
1995,D,3
1996,D,3
1997,D,1
1998,D,9
1999,D,6
2000,D,1
2003,D,2
2004,D,32
2005,D,1
2006,D,8
2007,D,61
2008,D,34
2009,D,103
2010,D,76
2011,D,16
2012,D,21
2013,D,56
2014,D,17
2015,D,135
2016,D,96
2017,D,72
2018,D,61
2019,D,37
2020,D,71
2021,D,95
2016,D,2
2002,A,2
2003,A,2
2008,A,14
2015,A,10
2016,A,22
2017,A,14
2018,A,14
2019,A,13
2020,A,8
2021,A,20
2020,A,11
2021,A,1
2000,B,1
2006,B,39
2007,B,181
2008,B,18
2009,B,4
2014,B,1
2019,B,15
1997,B,3
2012,B,2
2016,B,2
2017,B,1
2019,B,2
1973,B,1
1983,B,1
1998,B,24
1999,B,40
2000,B,78
2001,B,71
2002,B,86
2003,B,76
2004,B,76
2005,B,84
2006,B,114
2007,B,128
2008,B,64
2009,B,124
2013,B,1
2015,B,7
2016,B,50
2017,B,39
2018,B,15
2019,B,26
2020,B,4
2021,B,3
2003,C,32
2005,C,16
2007,C,16
2008,C,24
2009,C,25
2018,C,6
2019,C,3
2021,C,628
2010,C,23
2013,C,1
2016,C,1
2019,C,8
2020,C,31
2021,C,1
2008,C,44
2009,C,17
2019,C,2
2020,C,13
2021,C,14
1932,C,77
1933,C,199
1934,C,207
1935,C,188
1936,C,92
1937,C,158
1938,C,128
1939,C,66
1940,C,120
1941,C,150
1942,C,31
1943,C,116
1944,C,86
1945,C,2
1948,C,2
1964,C,1
1966,C,2
1967,C,1
1981,C,1
1990,C,1
1991,C,18
1997,C,30
1998,C,62
1999,C,47
2002,C,20
2003,C,4
2004,C,29
2005,C,10
2006,C,109
2007,C,119
2008,C,2
2009,C,39
2010,C,6
2011,C,83
2013,C,1
2014,C,2
2015,C,10
2016,C,26
2017,C,7
2016,C,1
2017,C,1
2018,C,2
2016,C,4
2020,C,2
1975,C,1
1981,C,1
1985,C,1
2008,C,1
2010,C,6
2016,C,28
2017,C,1
2018,C,3
2019,C,45
2020,C,9
2021,C,15
1958,D,1
1977,D,16
1982,D,2
1983,D,1
1986,D,7
1990,D,3
1991,D,1
1993,D,104
1995,D,1
1997,D,63
1998,D,204
1999,D,24
2000,D,36
2001,D,18
2004,D,2
2005,D,6
2006,D,5
2007,D,82
2008,D,56
2009,D,67
2011,D,95
2012,D,58
2013,D,82
2014,D,132
2015,D,45
2016,D,312
2017,D,447
2018,D,1011
2019,D,689
2020,D,880
2021,D,2130
2022,D,2
1989,D,3
2014,D,18
2016,D,9
2018,D,58
2019,D,37
2020,D,12
2021,D,122
1999,D,38
2000,D,35
2001,D,33
2002,D,33
2003,D,78
2004,D,8
2005,D,34
2006,D,83
2007,D,11
2008,D,63
2009,D,95
2011,D,5
2012,D,6
2013,D,38
2014,D,13
2015,D,23
2016,D,30
2017,D,25
2018,D,23
2019,D,46
2020,D,120
2021,D,427
1974,D,1
2011,D,27
2012,D,105
2013,D,33
2014,D,44
2015,D,16
2016,D,56
2017,D,24
2018,D,14
2019,D,38
2020,D,32
2021,D,69
1974,D,3
1975,D,1
1983,D,2
1984,D,2
1986,D,6
1987,D,2
1988,D,2
1996,D,28
1997,D,10
1999,D,4
2001,D,14
2003,D,11
2004,D,2
2005,D,47
2006,D,1
2007,D,5
2008,D,2
2010,D,12
2011,D,1306
2012,D,557
2013,D,312
2014,D,1059
2015,D,364
2016,D,605
2017,D,762
2018,D,936
2019,D,1827
2020,D,1838
2021,D,3336
1984,D,2
1988,D,1
1997,D,54
1998,D,42
1999,D,12
2000,D,1
2002,D,3
2003,D,1
2012,D,48
2013,D,2
2014,D,10
2015,D,43
2016,D,229
2017,D,80
2018,D,114
2019,D,250
2020,D,477
2021,D,281
2022,D,1
1953,D,1
1961,D,1
1963,D,3
1974,D,2
1978,D,1
1982,D,1
1986,D,1
1995,D,3
2000,D,1
2001,D,6
2002,D,13
2005,D,2
2009,D,14
2012,D,2
2015,D,3
2016,D,3
2017,D,22
2018,D,10
2019,D,51
2020,D,11
2021,D,25
2022,D,1
2000,C,9
2016,C,28
2017,C,81
2021,C,1
2022,C,2
2012,A,12
2013,A,20
2014,A,47
2016,A,227
2017,A,52
2018,A,8
2019,A,9
2020,A,14
2021,A,29
2017,A,5
2021,A,6
2018,B,23
2019,B,10
2020,B,26
2021,B,5
1993,B,3
2009,B,5
2014,B,1
2017,B,18
2018,B,7
2020,B,1
2020,B,1
2021,B,11
2020,B,1
2011,B,2
2012,B,4
2015,B,2
2017,B,11
2020,B,24
2021,B,32
2022,B,1
1998,C,10
2000,C,58
2001,C,22
2002,C,16
2003,C,19
2005,C,15
2007,C,22
2008,C,37
2009,C,3
2013,C,14
2014,C,2
2015,C,1
2017,C,1
2018,C,5
2019,C,6
2020,C,1
2021,C,1
2022,C,1
2013,C,12
2014,C,6
2021,C,14
2014,C,93
2017,C,23
1993,C,1
2017,C,1
2019,C,1
2017,C,4
2018,C,9
2020,C,3
2021,C,3
2013,C,578
2014,C,289
2015,C,101
2016,C,73
2017,C,23
2018,C,47
2021,D,8
1934,D,1
1935,D,1
1940,D,1
1963,D,1
1980,D,1
1981,D,4
1985,D,4
1989,D,2
1993,D,1
1996,D,3
1997,D,1
1999,D,1
2001,D,1
2002,D,13
2004,D,41
2005,D,71
2006,D,84
2007,D,459
2008,D,260
2009,D,84
2010,D,51
2011,D,10
2012,D,11
2013,D,52
2014,D,6
2015,D,4
2016,D,263
2017,D,63
2018,D,31
2019,D,32
2020,D,26
2021,D,78
2008,D,9
2009,D,23
2010,D,18
2011,D,6
2013,D,3
2017,D,3
2018,D,3
2020,D,6
2017,D,13
2018,D,2
2020,D,2
1982,D,1
1982,D,1
2009,D,1
2013,D,25
2014,D,40
2015,D,35
2016,D,61
2017,D,62
2018,D,1941
2019,D,783
2020,D,2393
2021,D,2945
2009,A,6
2010,A,1
2017,A,5
2022,A,2
2015,A,2
2016,A,10
2017,A,20
2018,A,52
2019,A,1
2020,A,14
2021,A,37
2014,B,22
2021,B,1
2022,B,1
2007,B,4
2011,B,1
2015,B,1
2016,B,1
2017,B,13
2018,B,3
2019,B,26
2020,B,13
2022,B,1
2004,B,6
2005,B,4
2007,B,12
2008,B,63
2009,B,5
2013,B,8
2015,B,18
2016,B,9
2019,B,3
2020,B,2
2021,B,59
2013,B,16
2014,B,35
2020,B,1
2014,C,26
2018,C,3
2020,C,1
1933,C,1
1936,C,1
1942,C,1
1945,C,3
1968,C,10
1971,C,23
1972,C,19
1973,C,11
1975,C,7
1976,C,1
1978,C,1
1979,C,5
1980,C,1
1985,C,1
1993,C,1
1998,C,1
1999,C,1
2000,C,1
2001,C,3
2002,C,5
2003,C,5
2004,C,57
2005,C,75
2006,C,5
2007,C,68
2008,C,77
2009,C,35
2010,C,2
2012,C,26
2013,C,9
2014,C,8
2015,C,13
2016,C,7
2017,C,13
2018,C,559
2019,C,565
2020,C,208
2021,C,131
2022,C,2
1973,C,1
2005,C,1
2010,C,29
2011,C,54
2012,C,68
2013,C,34
2014,C,27
2015,C,14
2016,C,32
2018,C,24
2019,C,12
2020,C,11
2021,C,85
2022,C,3
2019,C,1
1984,C,1
1986,C,1
1997,C,1
1998,C,13
2004,C,7
2006,C,15
2007,C,10
2008,C,19
2009,C,16
2013,C,12
2014,C,33
2015,C,16
2016,C,13
2017,C,26
2018,C,25
2019,C,11
2020,C,1
2021,C,26
2017,C,5
2019,C,2
2020,C,2
2022,C,1
2012,D,4
2013,D,31
2020,D,31
2008,D,1
2016,D,10
2018,D,1
2019,D,7
2022,D,1
2014,D,2
2022,D,2
2020,D,1
2022,D,1
2019,D,1
2009,D,2
2015,D,13
2016,D,13
2017,D,11
2018,D,11
2019,D,1
2021,D,1
2013,D,1
2020,D,2
2021,D,4
1999,D,33
2000,D,25
2001,D,9
2005,D,11
2006,D,70
2008,D,11
2009,D,7
2011,D,380
2012,D,488
2013,D,23
2014,D,15
2015,D,53
2016,D,45
2017,D,13
2018,D,11
2019,D,2
2020,D,9
2021,D,4
2022,D,3
2012,D,46
2013,D,9
2014,D,45
2015,D,50
2016,D,49
2017,D,42
2020,D,21
2021,D,183
2016,D,1
2018,D,1
2019,D,3
2020,D,11
2021,D,1
1950,A,48
1959,A,30
1974,A,146
1975,A,1016
1976,A,281
1977,A,223
1978,A,48
1980,A,2
1981,A,1
2000,A,24
2021,A,5
2014,A,8
2015,A,7
2020,A,1
2006,A,3
2010,A,32
1971,A,1
1976,A,7
1977,A,9
1978,A,5
1987,A,16
1988,A,3
1989,A,3
1990,A,35
1992,A,31
1998,A,3
1999,A,1
2000,A,4
2004,A,4
2005,A,12
2006,A,6
2007,A,2
2009,A,15
2010,A,4
2011,A,3
2012,A,8
2013,A,12
2014,A,31
2016,A,32
2017,A,16
2018,A,21
2019,A,11
2020,A,61
2021,A,137
2010,A,1
2018,A,53
1976,A,10
1977,A,11
1978,A,6
2021,A,14
1974,A,181
1975,A,194
1976,A,163
1977,A,25
1978,A,9
2019,A,2
2020,A,1
2021,A,6
1986,A,2
1987,A,1
1993,A,1
2013,A,4
2014,A,1
2018,A,19
2019,A,37
2020,A,80
2021,A,75
2011,A,3
2020,A,3
2021,A,14
2022,A,1
2015,A,11
2019,A,1
2021,A,1
2016,A,3
2020,A,137
2021,A,14
1974,A,6
1976,A,10
1977,A,11
1978,A,10
2020,A,850
2021,A,768
1994,A,2
1998,A,4
1999,A,3
2010,A,80
2011,A,27
2012,A,13
2014,A,28
2018,A,10
2019,A,5
2021,A,96
2022,A,5
2020,A,38
2021,A,1
1974,A,1
2019,A,36
2020,A,448
2021,A,2644
2022,A,492
1976,A,16
1977,A,16
1978,A,16
2007,A,2
2010,A,46
2014,A,33
2015,A,45
2016,A,44
2017,A,27
2019,A,82
2020,A,218
2021,A,244
1974,A,6
1975,A,4
1976,A,9
1977,A,5
1978,A,6
1979,A,7
2011,A,37
2012,A,1
2013,A,16
2015,A,17
2016,A,126
2017,A,57
2018,A,93
2019,A,127
2020,A,277
2021,A,291
1950,A,2
1951,A,1
1964,A,1
1967,A,25
1968,A,27
1970,A,35
1972,A,1
1974,A,7
1975,A,88
1976,A,87
1977,A,6
1978,A,6
1979,A,5
2011,A,6
2012,A,5
2013,A,25
2014,A,46
2015,A,107
2016,A,262
2017,A,1130
2018,A,1750
2019,A,1945
2020,A,4144
2021,A,2511
2022,A,1
1979,A,1
1981,A,620
1984,A,6
2002,A,10
2010,A,10
2013,A,1
2014,A,8
2016,A,60
2018,A,39
2019,A,22
2020,A,51
2021,A,18
2022,A,15
2018,A,8
1934,A,1
1999,A,32
2000,A,26
2001,A,41
2002,A,15
2003,A,53
2004,A,19
2005,A,56
2006,A,109
2007,A,107
2008,A,67
2009,A,118
2010,A,51
2011,A,292
2012,A,203
2013,A,572
2014,A,2094
2015,A,819
2016,A,1133
2017,A,2006
2018,A,393
2019,A,75
2020,A,364
2021,A,397
2022,A,4
2012,A,2
2013,A,20
2014,A,1
2015,A,1
2016,A,2
2017,A,2
2019,A,45
2020,A,41
2021,A,74
2022,A,6
2000,A,3
2012,A,2
2013,A,12
2015,A,1
2016,A,4
2017,A,12
2018,A,17
2019,A,49
2020,A,38
2021,A,19
2016,A,198
2018,A,1
2021,A,27
2020,A,5
2021,A,7
2011,A,32
2013,A,48
2014,A,12
2017,A,9
2018,A,16
2019,A,1
2020,A,12
2021,A,212
2001,A,3
2002,A,2
2005,A,4
2006,A,2
2007,A,18
2008,A,2
2009,A,1
2011,A,4
2012,A,8
2013,A,2
2014,A,11
2015,A,2
2016,A,11
2017,A,59
2018,A,56
2019,A,24
2020,A,3
2021,A,27
2022,A,2
1979,A,5
1997,A,1
2003,A,45
2004,A,29
2008,A,45
2009,A,38
2010,A,43
2011,A,74
2012,A,31
2013,A,47
2014,A,49
2015,A,50
2016,A,45
2017,A,92
2018,A,38
2019,A,43
2020,A,155
2021,A,329
1976,A,7
2020,A,5
2021,A,26
1933,A,1
2015,A,2
2018,A,12
2019,A,56
2020,A,75
2021,A,34
1974,A,13
1975,A,16
1976,A,21
1977,A,17
1978,A,19
1979,A,1
1981,A,9
1982,A,1
1983,A,2
1984,A,1
1985,A,86
1986,A,27
1987,A,7
1988,A,1
1989,A,1
1990,A,23
1991,A,18
1992,A,1
1993,A,9
1994,A,20
1995,A,31
1997,A,10
1999,A,31
2000,A,41
2001,A,10
2002,A,43
2003,A,19
2004,A,35
2005,A,22
2006,A,81
2007,A,11
2008,A,401
2009,A,412
2010,A,329
2011,A,429
2012,A,717
2013,A,676
2014,A,733
2015,A,564
2016,A,728
2017,A,501
2018,A,603
2019,A,1199
2020,A,2868
2021,A,2645
2022,A,2
1976,A,9
1977,A,10
1978,A,10
2020,A,34
2021,A,15
2010,A,9
2011,A,1
2013,A,1
2016,A,19
2017,A,4
2018,A,2
2019,A,24
2020,A,11
2021,A,35
1976,A,15
1977,A,18
1978,A,12
1998,A,6
2008,A,71
2012,A,1199
2013,A,2250
2014,A,311
2015,A,571
2016,A,11
2017,A,2839
2018,A,1108
2019,A,909
2020,A,42
2021,A,1243
2017,A,1
2018,A,26
2019,A,9
2020,A,1
2021,A,4
1990,B,24
2014,B,1
2017,B,9
2020,B,1
2021,B,6
2017,B,26
2018,B,1
2020,B,3
2021,B,723
2010,B,10
2017,B,21
2018,B,9
2020,B,5
2019,B,44
2020,B,65
2021,B,26
1943,B,41
1944,B,40
1945,B,105
1946,B,64
1971,B,1
1976,B,1
2003,B,1
2007,B,32
2008,B,3
2010,B,1
2015,B,1
2016,B,13
2017,B,1
2018,B,1
2019,B,52
2020,B,26
2021,B,2
2000,B,13
2001,B,48
2006,B,25
2007,B,2
2008,B,13
2009,B,62
2015,B,165
2017,B,1
2019,B,24
2022,B,1
2011,B,7
2012,B,4
2013,B,1
2015,B,116
2016,B,8
2017,B,18
2018,B,7
2019,B,49
2020,B,3
2021,B,31
2022,B,1
2018,B,1
2019,B,4
2021,B,1
2008,B,11
2015,B,7
2016,B,6
2017,B,35
2018,B,233
2019,B,243
2020,B,121
2021,B,593
2022,B,2
1981,B,7
1982,B,5
1991,B,9
1995,B,5
1996,B,9
1997,B,4
1998,B,2
1999,B,5
2000,B,5
2001,B,8
2002,B,13
2003,B,3
2004,B,4
2005,B,3
2006,B,2
2007,B,7
2008,B,14
2009,B,84
2010,B,36
2011,B,13
2012,B,16
2013,B,14
2014,B,12
2015,B,98
2016,B,39
2017,B,32
2018,B,112
2019,B,507
2020,B,2084
2021,B,212
2022,B,6
2013,B,1
2020,B,2
2021,B,1
2018,B,14
2020,B,1
2021,B,24
2022,B,2
2014,B,74
2022,B,1
2019,B,2
2021,B,1
2006,B,19
2008,B,17
2019,B,2
2020,B,2
2021,B,1
2022,B,1
1946,B,3
1973,B,1
2020,B,1
1972,B,1
2019,B,3
2020,B,3
2021,B,2
2020,B,1
2003,B,5
2004,B,6
2005,B,6
2006,B,7
2007,B,8
2008,B,12
2009,B,10
2010,B,7
2011,B,3
2012,B,10
2013,B,3
2014,B,2
2015,B,2
2016,B,1
2017,B,2
2018,B,6
2019,B,3
1979,B,3
1980,B,1
1981,B,1
1988,B,1
1999,B,21
2000,B,22
2002,B,34
2003,B,5
2004,B,6
2005,B,3
2006,B,1
2007,B,1
2008,B,10
2009,B,1
2011,B,2
2017,B,2
2020,B,94
2021,B,36
2020,B,1
2008,B,15
2016,B,2
2017,B,2
2018,B,7
2019,B,1
2020,B,2
2021,B,5
1999,B,7
2000,B,20
2001,B,9
2002,B,12
2003,B,28
2006,B,9
2007,B,6
2012,B,1
2013,B,7
2017,B,4
2019,B,64
2020,B,13
2021,B,15
2022,B,5
2020,B,3
1976,B,21
2007,B,1
2010,B,7
2012,B,16
2013,B,55
2014,B,47
2015,B,99
2016,B,19
2017,B,97
2018,B,85
2019,B,628
2020,B,528
2021,B,840
2018,B,12
2020,B,32
2021,B,37
2019,B,4
2021,B,1
2022,B,2
2019,B,3
2020,B,3
2021,B,1
1938,B,1
2020,B,1
1954,B,1
1956,B,1
1976,B,22
1977,B,17
1978,B,15
2014,B,1
2020,B,7
2021,B,8
2014,B,9
2020,B,5
2021,B,1
2017,B,53
2019,B,57
2020,B,54
2021,B,6
2015,B,2
2016,B,1
2017,B,10
2018,B,2
2019,B,10
2020,B,1
2021,B,10
1969,B,1
1970,B,1
1972,B,2
1981,B,32
2019,B,1
2020,B,6
2021,B,1
2020,B,94
2021,B,30
1976,B,8
1977,B,7
1978,B,6
2013,B,4
2015,B,1
2016,B,108
2018,B,2
2019,B,1
2020,B,1
2021,B,41
2010,B,13
2014,B,1
2022,B,1
1976,B,7
1977,B,9
1978,B,8
2012,B,9
2020,B,104
2021,B,616
1970,B,2
1976,B,25
1977,B,19
1978,B,20
2000,B,1
2015,B,3
2016,B,3
2018,B,24
2019,B,87
2020,B,23
2021,B,38
1986,B,1
1987,B,1
2015,B,23
2020,B,5
2021,B,9
1976,B,9
1977,B,8
1978,B,7
2006,B,13
2008,B,11
2009,B,25
2019,B,7
2020,B,53
2021,B,22
2011,B,1
1979,B,1
1983,B,1
1984,B,1
1997,B,1
2001,B,1
2003,B,1
2004,B,21
2006,B,16
2007,B,1
2008,B,26
2009,B,21
2010,B,13
2011,B,15
2012,B,24
2013,B,94
2014,B,5
2016,B,4
2017,B,17
2018,B,18
2019,B,9
2020,B,24
2021,B,8
2020,B,5
2021,B,6
1973,B,3
1999,B,1
2012,B,1
2014,B,7
2016,B,2
2017,B,1
2018,B,3
2019,B,60
2020,B,131
2021,B,83
1974,B,15
1975,B,138
1976,B,72
1977,B,54
1978,B,20
1979,B,17
2015,B,2
2016,B,23
2019,B,40
2021,B,80
2022,B,3
1974,B,388
1975,B,968
1976,B,323
1977,B,293
1978,B,79
1979,B,5
1997,B,1
1999,B,1
2007,B,1
2011,B,1
2012,B,16
2013,B,29
2015,B,14
2016,B,4
2018,B,21
2019,B,131
2020,B,258
2021,B,110
2022,B,3
1979,B,1
2000,B,35
2016,B,8
2019,B,13
1974,B,9
2013,B,16
2020,B,37
2021,B,65
2013,B,3
2017,B,9
2018,B,11
2019,B,14
2020,B,244
2021,B,1777
2016,B,1
2020,B,4
2021,B,1
1971,B,2
2013,B,2
2020,B,3
2021,B,6
2021,B,30
2018,B,2
2020,B,22
1932,B,1
1963,B,1
1967,B,1
1974,B,264
1975,B,262
1976,B,722
1977,B,210
1978,B,14
1979,B,12
1980,B,9
1981,B,11
1982,B,13
1983,B,19
1984,B,14
1985,B,11
1998,B,3
2000,B,14
2004,B,11
2005,B,24
2006,B,6
2007,B,37
2008,B,24
2009,B,90
2010,B,9
2011,B,12
2012,B,11
2013,B,62
2014,B,66
2015,B,131
2016,B,57
2017,B,301
2018,B,1338
2019,B,2910
2020,B,3282
2021,B,1737
2015,B,1
2017,B,5
2019,B,1
2020,B,4
2021,B,75
2022,B,17
1974,B,12
